,index,Genotype,Status,Light,Perifeed Speed Ratio
227,159,Trhn>Chr,Test,Red Light On,0.8892773030159065
228,160,Trhn>Chr,Test,Red Light On,0.7154677829764795
229,152,Trhn>Chr,Test,Red Light On,
230,141,Trhn>Chr,Test,Red Light On,
231,140,Trhn>Chr,Test,Red Light On,
232,139,Trhn>Chr,Test,Red Light On,0.7766324194419866
233,120,Trhn>Chr,Test,Red Light On,1.2074924843145156
234,121,Trhn/w,Ctrl,Red Light On,0.6010381194642964
235,122,Trhn>Chr,Test,Red Light On,
236,123,Trhn>Chr,Test,Red Light On,
237,124,Trhn>Chr,Test,Red Light On,
238,125,Trhn>Chr,Test,Red Light On,
239,126,Trhn>Chr,Test,Red Light On,0.6858630388473886
240,127,Trhn>Chr,Test,Red Light On,0.8379563836617335
241,128,Trhn>Chr,Test,Red Light On,0.0966366943003659
242,129,Trhn>Chr,Test,Red Light On,0.762923239546094
243,130,Chr/w,Ctrl,Red Light On,0.5719293234166072
244,131,Trhn>Chr,Test,Red Light On,
245,132,Trhn>Chr,Test,Red Light On,0.7049262232537358
246,133,Trhn/w,Ctrl,Red Light On,0.771112295940683
247,134,Trhn>Chr,Test,Red Light On,1.0573003524682258
248,135,Trhn>Chr,Test,Red Light On,0.7246952267732591
249,136,Trhn/w,Ctrl,Red Light On,1.0256392281201674
250,137,Trhn>Chr,Test,Red Light On,0.9525130099723828
251,138,Trhn/w,Ctrl,Red Light On,0.2753895198645599
252,161,Trhn>Chr,Test,Red Light On,0.6436926623808679
253,162,Trhn>Chr,Test,Red Light On,0.7964600769018736
254,163,Trhn>Chr,Test,Red Light On,0.9449041825097292
255,164,Trhn>Chr,Test,Red Light On,1.191691765195107
256,188,Trhn/w,Ctrl,Red Light On,0.9209742040376844
257,189,Trhn/w,Ctrl,Red Light On,0.91311843022318
258,190,Chr/w,Ctrl,Red Light On,1.5532941367368749
259,191,Trhn/w,Ctrl,Red Light On,0.92750769872807
260,192,Trhn/w,Ctrl,Red Light On,0.4636495649003768
261,193,Trhn/w,Ctrl,Red Light On,1.084500083076249
262,194,Trhn/w,Ctrl,Red Light On,0.9139027875898332
263,195,Trhn/w,Ctrl,Red Light On,0.5010099679191311
264,196,Chr/w,Ctrl,Red Light On,0.6477577045989533
265,197,Trhn/w,Ctrl,Red Light On,0.6908610299179541
266,198,Trhn/w,Ctrl,Red Light On,0.2820260825053196
267,199,Chr/w,Ctrl,Red Light On,1.0474618409191925
268,200,Trhn/w,Ctrl,Red Light On,0.618586614572975
269,201,Chr/w,Ctrl,Red Light On,
270,202,Chr/w,Ctrl,Red Light On,
271,203,Trhn/w,Ctrl,Red Light On,
272,204,Chr/w,Ctrl,Red Light On,
273,205,Chr/w,Ctrl,Red Light On,
274,206,Chr/w,Ctrl,Red Light On,
275,187,Trhn/w,Ctrl,Red Light On,0.2726526714808751
276,208,Chr/w,Ctrl,Red Light On,
277,186,Chr/w,Ctrl,Red Light On,0.0308326444936486
278,184,Trhn>Chr,Test,Red Light On,0.719945078411697
279,165,Trhn>Chr,Test,Red Light On,0.6447495010774666
280,166,Trhn>Chr,Test,Red Light On,0.5633573500913039
281,167,Trhn>Chr,Test,Red Light On,0.8200432261650422
282,168,Trhn>Chr,Test,Red Light On,0.6450526236549787
283,169,Trhn>Chr,Test,Red Light On,
284,170,Trhn>Chr,Test,Red Light On,
285,171,Trhn>Chr,Test,Red Light On,
286,172,Trhn>Chr,Test,Red Light On,1.0201253033207511
287,173,Trhn>Chr,Test,Red Light On,0.7893680784532965
288,174,Trhn>Chr,Test,Red Light On,1.066231654568462
289,175,Trhn>Chr,Test,Red Light On,
290,176,Trhn>Chr,Test,Red Light On,1.0411186194081754
291,177,Trhn>Chr,Test,Red Light On,0.8093533435720054
292,178,Trhn>Chr,Test,Red Light On,0.9782662123509962
293,179,Trhn>Chr,Test,Red Light On,1.2958751564044393
294,180,Trhn>Chr,Test,Red Light On,
295,181,Trhn>Chr,Test,Red Light On,0.8573801650008327
296,182,Trhn>Chr,Test,Red Light On,
297,183,Trhn>Chr,Test,Red Light On,0.5575823889792455
298,185,Trhn/w,Ctrl,Red Light On,0.6556410896308483
299,299,Trhn/w,Ctrl,Red Light On,0.923985112910128
