,ID,Status,Genotype,Sex,MinimumAge,MaximumAge,Food1,Food2,Temperature,#Flies,Starvedhrs,Date,averageSpeed_mm/s,xPosition_mm,yPosition_mm,inLeftPort,inRightPort,countLogDate,feedLogDate,GenoReduced,Light
42,13,Ctrl,w1118; uas-cschrimson,M,5,7,nan,nan,Red Light On,1,0,2021-11-15_14-25-12,0.052176466506727553,5.708098113283807,12.053049432504764,0.0,0.0,2021-11-15_14-25-12,2021-11-15_14-25-16,Chr/w,Red Light On
43,14,Ctrl,w1118; r50h05-gal4,M,5,7,nan,nan,Red Light On,1,0,2021-11-15_14-25-12,0.08110297222568902,1.387563465487226,9.333822681878443,0.0,0.0,2021-11-15_14-25-12,2021-11-15_14-25-16,R50H05/w,Red Light On
44,15,Test,r50h05-gal4>uas-cschrimson,M,5,7,nan,nan,Red Light On,1,0,2021-11-15_14-25-12,2.1481415485056163,6.175430679909976,8.057480230368869,0.6120053072877953,0.5710197078213027,2021-11-15_14-25-12,2021-11-15_14-25-16,R50H05>Chr,Red Light On
45,16,Ctrl,w1118; uas-cschrimson,M,5,7,nan,nan,Red Light On,1,0,2021-11-15_14-25-12,0.08220008216506967,1.534874344485868,3.266599042186661,0.0,0.0,2021-11-15_14-25-12,2021-11-15_14-25-16,Chr/w,Red Light On
46,17,Ctrl,w1118; r50h05-gal4,M,5,7,nan,nan,Red Light On,1,0,2021-11-15_14-25-12,0.0789335349790932,8.292938844906024,3.8944728175068954,0.0,0.0,2021-11-15_14-25-12,2021-11-15_14-25-16,R50H05/w,Red Light On
47,18,Test,r50h05-gal4>uas-cschrimson,M,5,7,nan,nan,Red Light On,1,0,2021-11-15_14-25-12,0.2262050501393943,6.909110552656434,1.7230643045487863,0.0,0.0,2021-11-15_14-25-12,2021-11-15_14-25-16,R50H05>Chr,Red Light On
48,19,Ctrl,w1118; uas-cschrimson,M,5,7,nan,nan,Red Light On,1,0,2021-11-15_14-25-12,0.07707144410928482,7.6505609394627685,7.100365734966298,0.0,0.0,2021-11-15_14-25-12,2021-11-15_14-25-16,Chr/w,Red Light On
49,20,Ctrl,w1118; r50h05-gal4,M,5,7,nan,nan,Red Light On,1,0,2021-11-15_14-25-12,0.05421509680370456,10.703724861063463,7.656191688420986,0.0,0.0,2021-11-15_14-25-12,2021-11-15_14-25-16,R50H05/w,Red Light On
50,21,Test,r50h05-gal4>uas-cschrimson,M,5,7,nan,nan,Red Light On,1,0,2021-11-15_14-25-12,1.4315726520431884,5.737983490028041,8.021147043483966,1.0204719595979244,0.8343000840552125,2021-11-15_14-25-12,2021-11-15_14-25-16,R50H05>Chr,Red Light On
51,22,Ctrl,w1118; uas-cschrimson,M,5,7,nan,nan,Red Light On,1,0,2021-11-15_14-25-12,0.05904163032399343,4.150784615662741,5.408163350214401,0.0,0.0,2021-11-15_14-25-12,2021-11-15_14-25-16,Chr/w,Red Light On
52,23,Ctrl,w1118; r50h05-gal4,M,5,7,nan,nan,Red Light On,1,0,2021-11-15_14-25-12,0.0718525905777806,9.983244594568493,10.730734536150425,0.0,0.0,2021-11-15_14-25-12,2021-11-15_14-25-16,R50H05/w,Red Light On
53,24,Test,r50h05-gal4>uas-cschrimson,M,5,7,nan,nan,Red Light On,1,0,2021-11-15_14-25-12,2.274475660396363,5.652566812999815,7.302238179189081,1.1830250151090982,0.7120379568331331,2021-11-15_14-25-12,2021-11-15_14-25-16,R50H05>Chr,Red Light On
54,25,Ctrl,w1118; uas-cschrimson,M,5,7,nan,nan,Red Light On,1,0,2021-11-15_14-25-12,0.060413615748154945,11.035478786638814,9.373168981087344,0.0,0.0,2021-11-15_14-25-12,2021-11-15_14-25-16,Chr/w,Red Light On
55,26,Ctrl,w1118; r50h05-gal4,M,5,7,nan,nan,Red Light On,1,0,2021-11-15_14-25-12,0.17881162762677347,7.632534533948232,4.86962117402403,0.5272554236452175,0.052795009482261575,2021-11-15_14-25-12,2021-11-15_14-25-16,R50H05/w,Red Light On
56,27,Test,r50h05-gal4>uas-cschrimson,M,5,7,nan,nan,Red Light On,1,0,2021-11-15_14-25-12,1.3040515153481593,6.019689875803222,5.010045527461458,0.12851416781866304,0.16046904197897924,2021-11-15_14-25-12,2021-11-15_14-25-16,R50H05>Chr,Red Light On
57,28,Ctrl,w1118; uas-cschrimson,M,5,7,nan,nan,Red Light On,1,0,2021-11-15_14-25-12,0.266413376098706,4.7024973343976875,11.11665341671477,25.536112481157044,0.2750897862496787,2021-11-15_14-25-12,2021-11-15_14-25-16,Chr/w,Red Light On
58,29,Ctrl,w1118; r50h05-gal4,M,5,7,nan,nan,Red Light On,1,0,2021-11-15_14-25-12,0.07150690517087499,6.327562864485432,11.077076790404444,0.0,0.0,2021-11-15_14-25-12,2021-11-15_14-25-16,R50H05/w,Red Light On
59,30,Test,r50h05-gal4>uas-cschrimson,M,5,7,nan,nan,Red Light On,1,0,2021-11-15_14-25-12,1.577434567370596,5.9789930365787205,6.760085116215068,0.6988392044625676,0.5543475995637465,2021-11-15_14-25-12,2021-11-15_14-25-16,R50H05>Chr,Red Light On
60,1,Ctrl,w1118; uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_11-56-49,0.12504647602242186,1.6235230792948583,12.485441024126636,0.0,0.0,2021-12-14_11-56-49,2021-12-14_11-56-52,Chr/w,Red Light On
61,2,Ctrl,w1118; r50h05-gal4,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_11-56-49,0.09075565253845697,3.445380328321696,10.990015332635553,0.0,1.8617187554271186,2021-12-14_11-56-49,2021-12-14_11-56-52,R50H05/w,Red Light On
62,3,Test,r50h05-gal4>uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_11-56-49,1.319048956870638,6.641966114933485,6.625755148497879,0.9468368147937174,1.1093898703048912,2021-12-14_11-56-49,2021-12-14_11-56-52,R50H05>Chr,Red Light On
63,4,Ctrl,w1118; uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_11-56-49,0.06742485111544176,3.7350760510965513,3.017096326269471,0.01389342354796357,0.0,2021-12-14_11-56-49,2021-12-14_11-56-52,Chr/w,Red Light On
64,5,Ctrl,w1118; r50h05-gal4,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_11-56-49,0.06816592163858287,2.271224803279522,6.212323866062379,0.04306961299868707,0.0,2021-12-14_11-56-49,2021-12-14_11-56-52,R50H05/w,Red Light On
65,6,Test,r50h05-gal4>uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_11-56-49,1.8059762675269013,6.228855093681967,6.6209198832129195,1.668600168110425,1.112168555014484,2021-12-14_11-56-49,2021-12-14_11-56-52,R50H05>Chr,Red Light On
66,7,Ctrl,w1118; uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_11-56-49,0.07489972431737928,3.4657854135953863,13.289843252231497,0.0,0.0,2021-12-14_11-56-49,2021-12-14_11-56-52,Chr/w,Red Light On
67,8,Ctrl,w1118; r50h05-gal4,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_11-56-49,0.068942656563982,5.942105903596953,13.939045227762014,4.199981938549388,0.05696303654665064,2021-12-14_11-56-49,2021-12-14_11-56-52,R50H05/w,Red Light On
68,9,Test,r50h05-gal4>uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_11-56-49,2.4804789107593486,5.870137447390787,8.117085060169863,0.8683389717477232,0.754412898654422,2021-12-14_11-56-49,2021-12-14_11-56-52,R50H05>Chr,Red Light On
69,10,Ctrl,w1118; uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_11-56-49,0.09841247385665775,6.29702187705869,6.754488020713367,0.0,0.0,2021-12-14_11-56-49,2021-12-14_11-56-52,Chr/w,Red Light On
70,11,Ctrl,w1118; r50h05-gal4,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_11-56-49,0.08502837317240836,1.3809785410670496,11.370780589347838,0.0,0.0,2021-12-14_11-56-49,2021-12-14_11-56-52,R50H05/w,Red Light On
71,12,Test,r50h05-gal4>uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_11-56-49,3.097270125237585,5.509809258805367,8.106761372782428,1.8346265795085896,1.4921536890512876,2021-12-14_11-56-49,2021-12-14_11-56-52,R50H05>Chr,Red Light On
72,13,Ctrl,w1118; uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_11-56-49,0.06965629086746075,6.13114938234331,6.056682024817563,0.0,0.0,2021-12-14_11-56-49,2021-12-14_11-56-52,Chr/w,Red Light On
73,14,Ctrl,w1118; r50h05-gal4,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_11-56-49,0.2708842919825741,3.452020980534955,8.307202394155238,0.06043639243364154,0.07016178891721604,2021-12-14_11-56-49,2021-12-14_11-56-52,R50H05/w,Red Light On
74,15,Test,r50h05-gal4>uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_11-56-49,2.676112397791016,6.306989897454716,7.334863546687816,0.3466409175216911,0.264669718588706,2021-12-14_11-56-49,2021-12-14_11-56-52,R50H05>Chr,Red Light On
75,16,Ctrl,w1118; r50h05-gal4,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_11-56-49,0.10183453975096299,4.345097896879681,8.971315886294548,0.0,0.0,2021-12-14_11-56-49,2021-12-14_11-56-52,R50H05/w,Red Light On
76,17,Test,r50h05-gal4>uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_11-56-49,1.572196206284916,5.93201131198205,7.372535973567311,0.7307940786228838,0.5064152883232722,2021-12-14_11-56-49,2021-12-14_11-56-52,R50H05>Chr,Red Light On
77,18,Ctrl,w1118; uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_11-56-49,0.08268987449291441,7.420980627418533,2.744072742551942,0.0,0.0,2021-12-14_11-56-49,2021-12-14_11-56-52,Chr/w,Red Light On
78,19,Ctrl,w1118; r50h05-gal4,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_11-56-49,0.06938619775760207,1.5327018562160302,9.823517395652498,0.0,0.0,2021-12-14_11-56-49,2021-12-14_11-56-52,R50H05/w,Red Light On
79,20,Test,r50h05-gal4>uas-cschrimson,M,7,8,nan,nan,Red Light On,1,24,2021-12-14_11-56-49,2.046326117089826,5.897399075456974,8.259463987294371,0.43208547234166705,0.5849131313692664,2021-12-14_11-56-49,2021-12-14_11-56-52,R50H05>Chr,Red Light On
